,text,score,method
0,@monotomidae @WildSchaubs yikes! that is no good :/,-0.9998120665550232,transformers_pipeline
1,reduviidae fall flat due to cardiac arrest,-0.9998013377189636,transformers_pipeline
2,i keep considering changing my tumblr url to carnidae for consistency but then i feel like no one will know who i am on there,-0.9997870922088623,transformers_pipeline
3,coccoidea is the worst shit i’ve ever seen oh my god,-0.999782919883728,transformers_pipeline
4,@Thespidae omg SJ THIS IS TOO MUCH!!!,-0.9997811317443848,transformers_pipeline
5,LOSING MY FUCKING MIND ABOUT NYCTERIBIIDAE https://t.co/nDN9tB4iAw,-0.9997566342353821,transformers_pipeline
6,"BTW, I got attacked by Ceratopogonidae when taking this picture. It wasn’t funny at all.",-0.999756395816803,transformers_pipeline
7,"@Thespidae It was probably done by an automated system and then when a real human looked at it, they fixed it? 
Or its possible you weren't actually banned but the server your blog is stored on collapsed for a bit. That happened to mine once. Very harrowing.",-0.9997532367706299,transformers_pipeline
8,"@Carnidae poorly read ""haha final girl oc!"" or something along the lines of giallo/woman killer its like....oh the clownery...",-0.9997477531433105,transformers_pipeline
9,@AmblingMan @BritishBugs @iancbeavis What about a parasitised Scale? This was (probably) a Coccus hesperidum on bay that was parasitised by a Coccophagus obscurus parasitoid wasp of the Aphelinidae - 2nd picture is the contents that didn't achieve eclosion https://t.co/PUxehTNV6Y,-0.9997348785400391,transformers_pipeline
10,I need to spend some time drawing Mine Own Evil Boys again. https://t.co/EommQWP2pd,-0.9997315406799316,transformers_pipeline
11,"Pieridae, which is developing the Goldboro #LNG project in N.S., says it will delay making a final investment decision expected this fall because of depressed global LNG markets and the COVID-19 pandemic. https://t.co/s7FJQP4jwr",-0.9997273087501526,transformers_pipeline
12,@itsafrogslife @KatyWafer It's probably Dock Bug https://t.co/QpVg2HXosD,-0.9997089505195618,transformers_pipeline
13,"@Thespidae i mean i KNOW, i often have to mark myself down as scared AND horny but... for him? no.... not for him i can't do it.. i'm not strong enough..,",-0.9997061491012573,transformers_pipeline
14,@OzAnimalEncount @ParslowBen Sawfly (Pergidae)- but not familiar with the species sorry!,-0.9997047781944275,transformers_pipeline
15,"@Thespidae that happened to me once with a rp blog :/
sometimes they just randomly purge blogs for no reason",-0.9996944665908813,transformers_pipeline
16,"@monotomidae @EntoTranslator @INHSillinois Agree looks like “in drift”. 

Maybe next is perhaps:

[space? Could this be where an ‘e’ should be?] r [space? Capital L?] isa [or ism?]

Makes no sense, sorry",-0.9996915459632874,transformers_pipeline
17,This is the worst thing I saw today when my Weird Condensed Almond Milk came in the mail so I'd have something to put in my quarantine coffee. https://t.co/iRAUPa5BwT,-0.9996904134750366,transformers_pipeline
18,"Pieridae Energy Limited, the company planning to build a $10-billion #LNG export #facility in Nova Scotia, says it will delay making a final investment decision expected this fall because of depressed global LNG markets and the #COVID19 #pandemic.

https://t.co/TXH5Ez1PVK",-0.9996896386146545,transformers_pipeline
19,"@JoJoFromJerz say the spell out loud, ""pentatomidae!"" ... short of a bug zapper, and no lights.

https://t.co/eHigRNpfPX @sciam",-0.9996867179870605,transformers_pipeline
20,@Thespidae HELLO THIS IS SO GOOD,0.9998475313186646,transformers_pipeline
21,@Thespidae My morning has been blessed by you. Thank you so much for this!,0.9998493194580078,transformers_pipeline
22,"@Thespidae I love the linework for this, and the colors it looks great",0.9998493790626526,transformers_pipeline
23,"@Thespidae @osheeets ok I love everything about this but I’m Obsessed with that outfit it’s so good,,,,",0.9998518824577332,transformers_pipeline
24,@Thespidae Well he looks so amazing in your style. ;_;♡ you're welcome!!,0.9998530745506287,transformers_pipeline
